Created At,Comment,Rating,review_id,product_id,customer_id
"juillet 31, 2025, 2:31 PM",Je suis très ravi de faire partir de votre équipe ,5,c9a3f26c,2f9c3d41,9d8690c7
"août 4, 2025, 7:59 AM",J'ai aimé et je recommande j'utilise word excel powerpoint sans blocage ,5,f4a32ce0,5c00a2d5,d508fa7a
"août 15, 2025, 11:34 AM",Ok,5,93b37c26,5584820f,5fca2e04
"août 19, 2025, 2:45 PM",Cool,5,3cb6f3f4,5584820f,96b7b18b
"août 20, 2025, 11:40 AM","Impossible de telecharger mon produit
",1,51d7ec3b,14732e80,d51b16a5
"août 20, 2025, 2:56 PM","J'ai reçu aucun lien et j'arrive à rien telecharger
",1,dd09fba8,14732e80,33490aa2
"août 21, 2025, 4:41 PM",N'importe quoi,1,4fb28900,14732e80,4d4f42bb
"août 22, 2025, 10:35 PM",Nul,2,86dfbc15,e71a2fde,77195219
"août 23, 2025, 1:59 AM",Je n'arrive pas à télécharger,1,4ce35497,14732e80,16d7acc4
"août 23, 2025, 10:27 PM",Anarque,1,b27f4ad4,65937956,c922bb48
"août 24, 2025, 10:34 PM",On ne sait toujours pas comment ça fonctionne ,4,df9f0e9c,2f9c3d41,6dad1757
"août 25, 2025, 5:39 PM",Comm ny je me connecte ?,3,054c4049,508654b6,a83d7ca4
"août 26, 2025, 6:31 AM",J'attends de voir,1,2780984e,ee25ba9f,e536e0da
"août 27, 2025, 8:55 AM",Cool,5,b74b7b59,5584820f,3fce7e9f
"août 27, 2025, 11:12 AM",Très bon,5,36638c40,5584820f,3fce7e9f
"août 27, 2025, 11:50 AM",Super,5,d0242737,508654b6,b8cc33cd
"août 27, 2025, 3:16 PM",Fesses ,5,d0f4be7e,ee25ba9f,6f07616b
"août 27, 2025, 9:11 PM",Jai payé mais je nai pas accès pourquoi ?,2,c2b3ca6a,508654b6,4efe37b7
"août 29, 2025, 8:43 AM",Je nai pas reçu le lien pour rejoindre la formation dans mon e-mail  veuillez me répondre svp ,3,0167b6e6,5584820f,5d9e43ff
"août 29, 2025, 1:36 PM",Cool L'application ,5,dfddb421,508654b6,bb10d7bd
"août 29, 2025, 5:16 PM",Je n'arrive pas à télécharger l'application ,1,b9c4d2c5,508654b6,a198158f
"août 29, 2025, 11:12 PM",C bien ,5,77ebf45f,3bd6f1b3,6b5922a7
"août 30, 2025, 12:46 AM",Sport ,5,a388c59b,32205b0c,b2ead4be
"août 30, 2025, 7:45 AM",Merci ,4,b0004ee4,2f9c3d41,0b581fd6
"août 30, 2025, 1:21 PM",Bon produit ,5,ec65b71c,89c9e178,ece0b6a3
"août 30, 2025, 2:44 PM",J'ai acheté mais ça be marche pas ,1,547ccfc6,32205b0c,07719854
"août 30, 2025, 11:07 PM",Je sais pas comment ça passe,5,af0bcf05,508654b6,727c1d0d
"août 31, 2025, 10:50 AM",Bjr comment je dois faire pour obtenir les chaînes maintenant ,1,bc14674e,508654b6,a12b08b7
"août 31, 2025, 2:05 PM",Bien ,5,42feb576,5584820f,13383558
"août 31, 2025, 6:17 PM",Je veux lire WhatsApp ,4,29ef61bb,cb009ae6,0d96aed6
"septembre 1, 2025, 12:58 AM",Dak r,5,a7ff31fd,ee25ba9f,8defdafe
"septembre 1, 2025, 12:58 AM",Dakar,5,18637349,ee25ba9f,8defdafe
"septembre 2, 2025, 2:54 PM",Cest le chemin vers  lindépendance financière ,4,63db0767,2f9c3d41,4d0b75a3
"septembre 3, 2025, 1:11 PM",Comment me connecter sur le whatsapp de ma chérie ,2,8ab55829,cb009ae6,d53ecbc0
"septembre 4, 2025, 10:22 AM",Excellent ,5,6792e697,adca96bd,dcf15c9b
"septembre 4, 2025, 11:20 AM",Ça ne marche pas. Je n'arrive pas à accéder aux chaines,1,ab19cb84,508654b6,70d4320c
"septembre 4, 2025, 2:22 PM",Jai pas encore recu mon achat,1,ea527cc0,65937956,b93926ab
"septembre 5, 2025, 2:51 AM",Impossible de telecharger le fichier ,1,9b8f5e66,5584820f,90a63180
"septembre 5, 2025, 1:04 PM","Pas de contenu, donnez satisfaction et après demandez des notes, cest ça la logique . Pas le contraire. ",1,4aca3e13,11709908,b88e8047
"septembre 5, 2025, 5:50 PM",J'avoue que c'est bonne formation bien expliqué ,4,71e48bd2,5584820f,1440f35c
"septembre 5, 2025, 10:29 PM",Bonsoir ,2,ca57b921,ee25ba9f,71d1c2e6
"septembre 6, 2025, 8:27 AM",Un vrai game changer = Merci beaucoup pour ce PACK IA qui m'a vraiment aidé. Le contenu est de qualité et j'ai puis automatiser mon WhatsApp. Je suis vraiment content ddd ,5,3eb35d85,64d72006,efc148a1
"septembre 6, 2025, 8:39 AM",J'ai payé et reçu le PACK. Très intéressant le contenu. Merci beaucoup pour tous ces valeurs=K,5,cde33717,64d72006,e3541577
"septembre 6, 2025, 12:24 PM",Cool ,5,c07200b3,534bdb77,2707e3f0
"septembre 6, 2025, 12:32 PM",Magnifique ,5,27458b2a,534bdb77,56c73387
"septembre 6, 2025, 1:01 PM",Une bonne idée ,5,fe7c12be,39034c4d,954e094f
"septembre 7, 2025, 1:26 AM",Trop cool,5,a0757be9,48e3bc46,f0de30fe
"septembre 7, 2025, 9:47 PM",Je n' arrive pas a rentrer comment ça ce passz,1,12c3d9bd,adca96bd,0750a01b
"septembre 8, 2025, 12:34 AM",Merci,5,9e22e6c5,39034c4d,0cb0415d
"septembre 8, 2025, 9:45 PM",Bande des voleurs,1,f08b36e5,508654b6,bb87c173
"septembre 9, 2025, 1:54 AM",Les videos sexy ,2,565fd2e5,65937956,979163ff
"septembre 9, 2025, 1:55 AM",Bien ,5,cd9cb8bc,65937956,979163ff
"septembre 9, 2025, 10:53 AM",Ce produit est vraiment magnifique tout les champignons sont magnifiques ,1,a9597792,534bdb77,a437b739
"septembre 9, 2025, 4:08 PM",Lire les conversations WhatsApp à distance ,3,a69a2032,cb009ae6,4619d24a
"septembre 9, 2025, 11:40 PM",Cool,1,a957ee37,cb009ae6,d715fc97
"septembre 10, 2025, 7:16 AM",Je le recommande fortement ,5,0e905bb1,ab0170e7,96db5022
